               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.059572,            0.015557,                   0,             0.59406,             0.78431,             0.64678,             0.24107,            0.057386,             0.01792,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.053202,             0.01701,                   0,             0.86731,             0.72549,             0.85645,             0.39725,            0.047645,             0.01941,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.050085,             0.01516,                   0,               0.825,             0.72549,             0.86612,             0.32021,            0.043641,            0.019179,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.051807,            0.017752,                   0,              0.5944,             0.62745,             0.69697,             0.22453,             0.05999,            0.017262,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.063799,            0.013996,                   0,               0.496,             0.69474,             0.57752,              0.1852,            0.062364,            0.016239,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.062847,            0.013295,                   0,              0.5722,             0.68195,             0.69674,             0.30934,            0.059287,            0.016065,                   0,            0.007921,            0.007921,            0.007921
                  44,             0.06027,            0.014788,                   0,             0.57264,             0.73573,             0.74223,             0.41797,            0.057306,             0.01504,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.057095,            0.013929,                   0,             0.57264,             0.73573,             0.74223,             0.41797,            0.057306,             0.01504,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.053573,            0.013584,                   0,             0.72037,             0.80825,             0.87651,             0.48714,            0.055731,            0.014581,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,             0.04932,            0.015179,                   0,             0.88584,             0.82353,             0.93758,             0.48902,            0.044311,            0.016063,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.044735,            0.016163,                   0,             0.79667,             0.84511,             0.90781,              0.4718,            0.044568,            0.015807,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.049825,            0.015689,                   0,              0.8035,             0.80392,             0.87685,             0.37134,            0.046862,             0.01545,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.057508,            0.014206,                   0,             0.91679,             0.88235,             0.95114,             0.46586,            0.048497,            0.014145,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.053623,            0.013727,                   0,             0.50883,             0.95473,              0.6386,             0.19975,            0.053454,            0.013742,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.054258,            0.012758,                   0,             0.64707,             0.86275,              0.8255,             0.44974,            0.045667,            0.014237,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.048566,            0.013828,                   0,             0.64707,             0.86275,              0.8255,             0.44974,            0.045667,            0.014237,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.048791,            0.012942,                   0,             0.68202,             0.90196,             0.83904,             0.48599,            0.044316,             0.01413,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.043456,             0.01235,                   0,             0.84985,             0.99881,             0.97368,             0.52448,            0.038653,            0.014591,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.043428,            0.013716,                   0,             0.83693,                   1,             0.94644,             0.55831,            0.037474,             0.01403,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.047011,            0.012556,                   0,             0.89006,             0.95252,             0.95755,             0.40725,            0.040468,            0.013575,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.048086,            0.010947,                   0,              0.6917,             0.83592,             0.82478,             0.37572,            0.044466,            0.013269,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.049878,            0.011937,                   0,             0.69805,                   1,             0.81276,             0.38383,            0.044171,            0.013081,                   0,            0.007129,            0.007129,            0.007129
