               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11905,            0.027781,                   0,          0.00072139,               0.145,          0.00054217,          0.00013381,             0.10388,            0.022633,                   0,              0.0784,              0.0024,              0.0024
                   1,             0.10131,            0.022594,                   0,             0.00155,               0.465,            0.010257,           0.0028483,            0.085981,            0.018166,                   0,            0.055876,           0.0048757,           0.0048757
                   2,            0.088784,            0.020235,                   0,             0.00205,               0.615,           0.0059752,           0.0014236,            0.084212,             0.01585,                   0,            0.033327,           0.0073267,           0.0073267
                   3,            0.083299,            0.018123,                   0,           0.0032333,                0.97,            0.010993,           0.0028662,            0.082235,            0.013969,                   0,            0.010753,            0.009753,            0.009753
                   4,            0.080792,            0.018468,                   0,           0.0028866,               0.865,            0.026844,           0.0076171,            0.077864,            0.013548,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.073921,            0.018725,                   0,            0.016692,                0.53,            0.050624,            0.014054,            0.066197,            0.014369,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.066795,            0.018953,                   0,            0.052649,               0.455,             0.11692,            0.039796,             0.06257,            0.013534,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.066371,            0.020002,                   0,             0.21941,                0.36,             0.18796,            0.050575,            0.062231,            0.013476,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.060976,            0.019723,                   0,             0.26989,                0.35,             0.25984,            0.096053,            0.057542,            0.012538,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.057813,            0.020154,                   0,             0.33014,               0.355,             0.31312,            0.099894,            0.054495,            0.012806,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.057154,            0.017669,                   0,             0.39364,                0.32,              0.3243,             0.14079,            0.054546,            0.011803,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.055134,            0.017379,                   0,              0.4172,                0.35,             0.41834,             0.15369,            0.048554,            0.011691,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.052503,            0.018443,                   0,             0.40746,             0.33696,             0.42739,             0.16293,            0.043011,            0.012631,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.047667,            0.018638,                   0,             0.55086,                 0.4,              0.5383,             0.21205,            0.045106,            0.011161,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.046563,            0.015731,                   0,             0.48337,                0.58,              0.5412,             0.23731,            0.040174,            0.010912,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.046661,            0.014806,                   0,             0.69992,               0.755,             0.72136,             0.31626,            0.040457,           0.0096148,                   0,            0.009307,            0.009307,            0.009307
                  16,             0.04744,            0.013658,                   0,             0.60246,             0.80321,             0.69327,             0.31465,            0.040632,           0.0090127,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.044956,            0.014095,                   0,             0.76316,             0.77334,             0.79451,              0.3109,            0.039466,           0.0086395,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.04724,            0.014735,                   0,             0.66163,                0.78,             0.73644,             0.35869,            0.041205,           0.0082093,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,             0.04527,            0.013259,                   0,             0.73691,                0.83,             0.82153,             0.34409,            0.039314,           0.0079082,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.045587,            0.013121,                   0,             0.63424,               0.875,             0.74025,             0.30447,            0.043812,            0.008002,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.044979,            0.012823,                   0,             0.81368,               0.865,             0.89622,              0.3684,            0.036633,           0.0074514,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.041355,            0.012022,                   0,             0.87637,               0.795,             0.91857,              0.4966,            0.034519,           0.0071971,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.039825,            0.011473,                   0,              0.7305,             0.85382,             0.82166,              0.3898,            0.037559,           0.0068051,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.042833,            0.010552,                   0,             0.79613,                0.78,             0.85369,             0.44241,            0.034418,           0.0071716,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.042598,            0.010898,                   0,             0.91854,                0.81,             0.92535,             0.50642,            0.041577,           0.0064126,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.042807,            0.010869,                   0,             0.80475,                0.86,             0.88942,             0.47668,            0.035648,           0.0061487,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.041403,            0.010921,                   0,             0.95946,             0.94673,             0.97738,             0.54983,            0.030877,           0.0059951,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.039473,            0.010917,                   0,             0.92341,                0.97,             0.97538,             0.58952,            0.031982,           0.0060518,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.039458,             0.01081,                   0,             0.96162,                0.93,              0.9813,             0.52779,            0.032016,           0.0062198,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.036398,              0.0103,                   0,             0.95761,                0.96,             0.98389,             0.58571,            0.032549,           0.0059551,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.035379,           0.0098534,                   0,             0.95542,             0.96451,             0.98694,             0.60092,            0.029582,           0.0057593,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.037246,           0.0099108,                   0,             0.94943,               0.965,             0.98925,             0.59942,            0.029226,           0.0056301,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.037074,            0.010099,                   0,             0.95331,               0.965,             0.98525,             0.63477,             0.02779,            0.005749,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.034713,           0.0093263,                   0,             0.92234,             0.95014,             0.97959,             0.59945,            0.031399,           0.0055275,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.037378,           0.0092852,                   0,             0.95864,               0.965,             0.99072,             0.63079,             0.02657,           0.0052371,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.035216,           0.0090929,                   0,             0.96486,                0.96,             0.99054,              0.6471,            0.028186,           0.0052203,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.035765,           0.0093879,                   0,              0.9785,                0.97,             0.99306,             0.63604,            0.027569,           0.0051945,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.036154,           0.0083238,                   0,             0.98965,             0.95641,              0.9922,             0.63378,            0.028054,           0.0054043,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.034101,           0.0092947,                   0,             0.98791,               0.955,             0.99057,             0.65162,            0.027227,           0.0052297,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.033132,            0.009304,                   0,             0.99119,                0.97,             0.98835,             0.58812,            0.027496,           0.0050607,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.033752,           0.0090965,                   0,             0.98656,               0.965,             0.99095,             0.65991,            0.025216,           0.0049661,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.03357,           0.0090781,                   0,             0.97963,             0.96192,             0.98748,             0.59148,            0.028678,           0.0052101,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,             0.03307,           0.0087312,                   0,             0.97445,                0.96,             0.98967,             0.65982,            0.025047,           0.0049441,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.032174,           0.0090549,                   0,             0.96653,                0.95,             0.98922,             0.64464,            0.027525,           0.0048781,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031917,           0.0084639,                   0,             0.97058,               0.955,             0.98974,             0.65529,            0.025987,           0.0049666,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.029904,           0.0081671,                   0,             0.98445,              0.9496,             0.98371,             0.68095,            0.026804,           0.0049519,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.032076,           0.0092435,                   0,             0.98468,             0.96426,             0.99149,             0.53879,             0.03139,           0.0047919,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.034993,           0.0086577,                   0,              0.9844,                0.99,             0.99465,             0.62833,            0.026987,           0.0047682,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030895,           0.0080261,                   0,             0.99484,             0.96478,             0.99388,             0.66589,            0.025493,           0.0046315,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.032653,           0.0087538,                   0,             0.98019,              0.9896,              0.9944,             0.66188,            0.029097,           0.0046486,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.033293,           0.0087713,                   0,             0.96585,               0.995,             0.99208,             0.68918,            0.026962,           0.0047077,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.032168,           0.0079309,                   0,             0.98774,                   1,             0.99248,             0.69557,             0.02582,           0.0046927,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.030624,           0.0090202,                   0,             0.97048,             0.98622,             0.99042,             0.65447,            0.027539,           0.0046677,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.031205,           0.0081147,                   0,             0.98536,                0.97,             0.99281,             0.68094,            0.026839,           0.0046695,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031544,            0.008904,                   0,             0.98912,                0.97,              0.9934,             0.65674,            0.026558,           0.0046633,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.031066,           0.0084826,                   0,             0.98503,             0.98688,             0.99382,              0.6861,            0.025905,           0.0046254,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.030498,           0.0081317,                   0,             0.98367,               0.995,             0.99439,             0.70427,            0.023685,           0.0045407,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.030874,           0.0085298,                   0,             0.98956,                   1,              0.9949,             0.63491,            0.026701,           0.0044755,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.029842,           0.0080503,                   0,             0.99421,               0.995,              0.9948,             0.69349,            0.023549,           0.0043499,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.030492,           0.0079897,                   0,             0.99469,                0.99,             0.99455,             0.69594,            0.022222,           0.0043116,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029281,           0.0075971,                   0,             0.98146,               0.995,              0.9949,             0.69176,            0.023645,           0.0043368,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.027865,           0.0075526,                   0,             0.99119,                0.99,             0.99465,             0.70076,            0.021779,           0.0042173,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.028112,           0.0079669,                   0,              0.9831,                0.99,              0.9943,             0.69532,            0.021797,            0.004178,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.030173,           0.0079631,                   0,             0.98359,                0.99,             0.99374,             0.73363,             0.02089,           0.0040815,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.028409,           0.0074059,                   0,             0.97842,                   1,              0.9947,             0.73471,             0.02228,           0.0040785,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.029226,           0.0079367,                   0,             0.98382,                   1,              0.9947,             0.71049,            0.021869,           0.0042197,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.028696,           0.0078557,                   0,             0.98519,                   1,             0.99485,             0.71997,            0.022444,           0.0042499,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.028588,           0.0079062,                   0,             0.98448,                   1,             0.99485,             0.69688,            0.022868,           0.0042592,                   0,           0.0066835,           0.0066835,           0.0066835
